ZIP,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,LAT,LNG,BOROUGH
10473,3540.565,181.7125,10473.0,4.29,0.07,4.36,449.20551463000066,448.3361748075,1696.325,1.1975,579412.025,40.818690, -73.858474,Brooklyn
10474,2760.6521739130435,172.0144927536232,10474.0,2.1449275362318843,0.5942028985507246,2.739130434782609,821.1251851304346,639.4028778695651,1828.2173913043478,2.5072463768115942,700675.1014492754,40.810549, -73.884367,Brooklyn
10475,5339.472222222223,75.38888888888889,10475.0,1.2222222222222223,0.16666666666666666,1.3888888888888888,829.2908875833332,215.07818691666665,1802.6666666666667,1.6111111111111112,606778.9722222222,40.875169, -73.823817,Brooklyn
10803,5651.0,69.0,10803.0,1.0,0.0,1.0,273.13482,131.92226000000002,1955.0,1.0,736000.0,40.900458, -73.807138,Brooklyn
11001,8789.857142857143,35.285714285714285,11001.0,1.1285714285714286,0.0,1.1285714285714286,341.1411431857143,131.91827844285714,1920.8,1.0,339701.1285714286,40.723317, -73.704949,The Bronx
11004,8612.494023904383,58.05179282868526,11004.0,1.250996015936255,0.0199203187250996,1.2709163346613546,326.11284828286847,123.61984090438247,1951.402390438247,1.4302788844621515,313875.8964143426,40.746204, -73.711478,The Bronx
11005,8489.0,1.0,11005.0,22.216867469879517,0.26506024096385544,22.481927710843372,4732.792227710844,4198.057110783132,1972.0,2.0,366596.5,40.756596, -73.714178,The Bronx
11040,8650.309523809523,38.73809523809524,11040.0,0.6904761904761905,0.023809523809523808,0.7142857142857143,307.94911326190476,86.68513492857142,1950.595238095238,1.3571428571428572,332642.85714285716,40.745347, -73.680292,The Bronx
11101,234.2207505518764,691.60706401766,11101.0,1.5673289183222958,0.41501103752759383,2.143487858719647,352.9610562273729,518.5804443222959,1614.0971302428256,2.686534216335541,2462431.646799117,40.747155, -73.939750,The Bronx
11102,717.5508771929825,528.5263157894736,11102.0,5.610526315789474,0.11228070175438597,5.7894736842105265,189.85852665263155,204.95673104210533,1656.6666666666667,1.9894736842105263,800096.0596491228,40.772884, -73.926295,The Bronx
11103,689.968253968254,85.52777777777777,11103.0,3.257936507936508,0.2857142857142857,3.5515873015873014,233.01288986904763,324.08990352380965,1904.0396825396826,1.5753968253968254,648507.8492063492,40.762574, -73.913447,The Bronx
11104,174.08287292817678,167.28729281767957,11104.0,3.7624309392265194,0.1270718232044199,3.889502762430939,155.0633194198895,278.57246851933695,1872.7955801104972,1.718232044198895,815041.1767955801,40.744634, -73.920201,The Bronx
11105,828.2232415902141,201.1559633027523,11105.0,1.8654434250764527,0.1834862385321101,2.0642201834862384,213.00839614984696,203.02686373700297,1904.4709480122324,1.4954128440366972,722802.0856269114,40.778877, -73.906769,The Bronx
11106,535.8188235294118,506.97411764705885,11106.0,1.2823529411764707,0.17647058823529413,1.7505882352941176,113.20613091764704,141.26720882352947,1938.3364705882352,2.498823529411765,570480.0517647059,40.762211, -73.931528,The Bronx
11109,18.774193548387096,276.9032258064516,11109.0,0.25806451612903225,0.0,0.25806451612903225,0.0,0.0,1999.0645161290322,2.0,822032.2580645161,40.745115, -73.956928,The Bronx
11201,329.6948640483384,709.6555891238671,11201.0,1.1842900302114803,0.25,1.5007552870090635,95.40029438821752,483.1583305755286,1775.2590634441087,2.1986404833836857,2764771.495468278,40.693682, -73.989693,Queens
11203,4837.0680786686835,100.71104387291982,11203.0,2.0211800302571863,0.14674735249621784,2.1875945537065054,230.0267036066562,217.03096534341884,1879.3252647503782,1.4296520423600605,395291.5295007564,40.649591, -73.934371,Queens
11204,5869.71954674221,197.70963172804534,11204.0,2.123229461756374,0.12039660056657224,2.2577903682719547,194.88851836118997,198.600953822946,1834.4079320113315,1.341359773371105,592113.5609065156,40.618779, -73.984826,Queens
11205,1930.9651162790697,590.0542635658915,11205.0,2.624031007751938,0.15310077519379844,2.856589147286822,136.07840893798453,230.00370202713202,1708.1589147286822,2.0271317829457365,918836.6744186047,40.694696, -73.966286,Queens
11206,2373.228215767635,665.7427385892116,11206.0,2.578838174273859,0.27800829875518673,2.867219917012448,153.86914816390043,256.6830864626557,1677.1203319502074,1.9709543568464731,863434.8195020747,40.701954, -73.942358,Queens
11207,3828.370595382746,116.42891859052249,11207.0,2.3839611178614826,0.12150668286755771,2.5054678007290403,219.45223813608783,244.99999871931968,1769.7727825030377,1.3608748481166464,423586.70959902793,40.670747, -73.894209,Queens
11208,4171.629032258064,50.32795698924731,11208.0,2.1626344086021505,0.1196236559139785,2.278225806451613,349.97234395967706,214.28738759005384,1814.9166666666667,1.299731182795699,385539.1733870968,40.669769, -73.871372,Queens
11209,6014.976154992549,114.82563338301043,11209.0,1.226527570789866,0.11773472429210134,1.3621460506706409,136.43989336363617,155.55423563636356,1879.1535022354694,1.593144560357675,552296.697466468,40.621982, -74.030324,Queens
11210,7039.875451263538,41.288808664259925,11210.0,1.211191335740072,0.12815884476534295,1.339350180505415,237.4028840234652,174.59978524368228,1909.716606498195,1.2815884476534296,516723.702166065,40.628147, -73.946324,Queens
11211,2545.993410214168,590.6573311367381,11211.0,2.313014827018122,0.23064250411861614,2.627677100494234,141.4840755222405,233.40738507248759,1640.1004942339373,2.0049423393739705,1151620.0082372322,40.712597, -73.953098,Queens
11212,3917.782738095238,44.44940476190476,11212.0,2.669642857142857,0.24702380952380953,2.9166666666666665,228.82368346130946,274.6837563273806,1892.157738095238,1.5833333333333333,411274.3005952381,40.662936, -73.913029,Queens
11213,1350.6380697050938,129.72117962466487,11213.0,2.9812332439678286,0.13672922252010725,3.1340482573726542,206.70045756032178,326.35952156032187,1824.9973190348526,1.4048257372654156,526373.3243967828,40.671078, -73.936336,Queens
11214,6537.682255845943,312.21045392022006,11214.0,1.9105914718019257,0.12104539202200826,2.108665749656121,732.3655944800554,346.7400650674004,1745.6258596973864,1.6313617606602475,508477.94910591474,40.599148, -73.996090,Queens
11215,1009.6206896551724,434.916573971079,11215.0,1.4727474972191323,0.09232480533926585,1.6184649610678532,104.74322383203537,148.40928727808685,1721.4593993325918,1.8220244716351501,1238403.2747497219,40.662688, -73.986740,Queens
11216,1649.0785440613026,286.9176245210728,11216.0,3.0632183908045976,0.11494252873563218,3.203065134099617,159.9293109482757,301.17088088888875,1750.6168582375478,1.5478927203065134,993125.4137931034,40.680768, -73.949316,Queens
11217,867.7833655705996,503.53965183752416,11217.0,3.2050290135396517,0.15860735009671179,3.386847195357834,122.12791180851058,284.80969023210815,1609.8510638297873,1.8665377176015474,1480343.576402321,40.682306, -73.978099,Queens
